Date,price
23/9/2019,121.610001
24/9/2019,116.800003
25/9/2019,118.220001
26/9/2019,116.199997
27/9/2019,112.239998
30/9/2019,114
1/10/2019,112.519997
2/10/2019,113.900002
3/10/2019,114.82
4/10/2019,116.419998
7/10/2019,115.860001
8/10/2019,115.080002
9/10/2019,114.239998
10/10/2019,112.519997
11/10/2019,115.489998
14/10/2019,115.169998
15/10/2019,118.589996
16/10/2019,116.559998
17/10/2019,117.830002
18/10/2019,115.330002
21/10/2019,119
22/10/2019,118.010002
23/10/2019,118.230003
24/10/2019,118.830002
25/10/2019,120.690002
28/10/2019,140.199997
29/10/2019,135.990005
30/10/2019,140.449997
31/10/2019,144.300003
1/11/2019,146.919998
4/11/2019,154.149994
5/11/2019,150.369995
6/11/2019,148.479996
7/11/2019,148.169998
8/11/2019,147.850006
11/11/2019,146.630005
12/11/2019,146.389999
13/11/2019,146.779999
14/11/2019,148.759995
15/11/2019,147.509995
18/11/2019,140.259995
19/11/2019,136.970001
20/11/2019,138.029999
21/11/2019,139.059998
22/11/2019,140.889999
25/11/2019,141.869995
26/11/2019,143.830002
27/11/2019,142.929993
29/11/2019,142.550003
2/12/2019,142.529999
3/12/2019,143.979996
4/12/2019,144.949997
5/12/2019,146.580002
6/12/2019,148.089996
9/12/2019,146.309998
10/12/2019,145.970001
11/12/2019,147.130005
12/12/2019,147.229996
13/12/2019,147.199997
16/12/2019,150.779999
17/12/2019,151.529999
18/12/2019,150.869995
19/12/2019,149.679993
20/12/2019,150.309998
23/12/2019,150.419998
24/12/2019,151.820007
26/12/2019,152.520004
27/12/2019,153.169998
30/12/2019,149.809998
31/12/2019,149.550003
2/1/2020,151.619995
3/1/2020,152.5
6/1/2020,156.720001
7/1/2020,156.020004
8/1/2020,158.779999
9/1/2020,157.740005
10/1/2020,156.039993
13/1/2020,150.869995
14/1/2020,149.399994
15/1/2020,152.449997
16/1/2020,151.839996
17/1/2020,148.339996
21/1/2020,148.949997
22/1/2020,148.119995
23/1/2020,148.970001
24/1/2020,146.630005
27/1/2020,144.339996
28/1/2020,144.300003
29/1/2020,141.570007
30/1/2020,142.710007
31/1/2020,141.300003
3/2/2020,146.5
4/2/2020,154.309998
5/2/2020,147
6/2/2020,154.369995
7/2/2020,154.550003
10/2/2020,148.330002
11/2/2020,145.770004
12/2/2020,147.080002
13/2/2020,141.5
14/2/2020,141
18/2/2020,144.630005
19/2/2020,143.360001
20/2/2020,147.860001
21/2/2020,146.949997
24/2/2020,145.330002
25/2/2020,141.800003
26/2/2020,140.490005
27/2/2020,134.509995
28/2/2020,137.119995
2/3/2020,139.339996
3/3/2020,137.160004
4/3/2020,144.25
5/3/2020,148.080002
6/3/2020,145.139999
9/3/2020,139.779999
10/3/2020,141.899994
11/3/2020,135.059998
12/3/2020,126.989998
13/3/2020,131.559998
